flow_threshold_cells,tolerance_m,observed_agreement_pct,random_null_mean_pct,terrain_null_mean_pct,terrain_null_2_5_pct,terrain_null_97_5_pct,observed_minus_random_null_pct,observed_minus_terrain_null_pct,terrain_null_minus_random_null_pct,random_null_empirical_p,terrain_null_empirical_p
250,30,8.141580942068218,2.1087660789489746,3.1529507637023926,3.009384632110596,3.2981412410736084,6.03291862523573,4.988630178365826,1.044184684753418,0.0019960079840319,0.0019960079840319
250,60,9.197347049269084,3.306818008422852,4.263418197631836,4.08082914352417,4.43974494934082,5.892316190711348,4.9339288516372495,0.9566001892089839,0.0019960079840319,0.0019960079840319
250,90,10.338837754917884,4.964759826660156,5.876754760742188,5.682525634765625,6.070768356323242,5.377502078101749,4.462082994175697,0.9119949340820321,0.0019960079840319,0.0019960079840319
250,150,12.265385309510918,7.671279907226562,8.68567943572998,8.462991714477539,8.896239280700684,4.600996427549772,3.579705873780938,1.0143995285034189,0.0019960079840319,0.0019960079840319
250,300,17.600613607652047,14.131691932678224,15.811234474182127,15.505831718444824,16.104944229125977,3.4819444309581407,1.789379133469918,1.6795425415039027,0.0019960079840319,0.0019960079840319
500,30,9.950337792492506,2.116717338562012,3.698483228683472,3.4718804359436035,3.910339593887329,7.83322008321521,6.251854563809035,1.58176589012146,0.0019960079840319,0.0019960079840319
500,60,11.171759652811955,3.320659875869751,4.860462665557861,4.594648838043213,5.104917049407959,7.8540227631433,6.311296987254094,1.5398027896881104,0.0019960079840319,0.0019960079840319
500,90,12.406603731376672,4.979438304901123,6.542749881744385,6.225560188293457,6.825309753417969,7.4333991705145745,5.863853849632287,1.5633115768432617,0.0019960079840319,0.0019960079840319
500,150,14.428884613663818,7.686456203460693,9.498876571655272,9.162900924682615,9.858954429626465,6.755703639199775,4.930008042008545,1.8124203681945783,0.0019960079840319,0.0019960079840319
500,300,19.627757147331216,14.15414810180664,17.054790496826172,16.613462448120117,17.48702621459961,5.499883723689514,2.5729666505050446,2.9006423950195312,0.0019960079840319,0.0019960079840319
1000,30,14.124175479007434,2.1095283031463623,4.385174751281738,4.020521640777588,4.774369239807129,12.02079279297329,9.739000727725696,2.275646448135376,0.0019960079840319,0.0019960079840319
1000,60,15.642341116113496,3.308837890625,5.626321792602539,5.208617210388184,6.051722526550293,12.348520126318837,10.016019323510957,2.317483901977539,0.0019960079840319,0.0019960079840319
1000,90,16.95110459637734,4.973706245422363,7.447869300842285,6.972568511962891,7.941838264465332,12.001505552506725,9.503235295535056,2.474163055419922,0.0019960079840319,0.0019960079840319
1000,150,19.087006596167942,7.672858238220215,10.67431640625,10.114124298095703,11.271856307983398,11.45693990004984,8.412690189917942,3.001458168029785,0.0019960079840319,0.0019960079840319
1000,300,24.11265836038111,14.155611038208008,18.933284759521484,18.21249008178711,19.678829193115234,10.00504161318829,5.179373600859627,4.777673721313477,0.0019960079840319,0.0019960079840319
